Account_Number,Account_Name,Account_Type,Account_Subtype,Tax_Line,Description
6800,Bank Fees,Expense,Other Operating Expense,Form 1120 Line 26,Bank charges
6810,Credit Card Processing Fees,Expense,Other Operating Expense,Form 1120 Line 26,Merchant processing fees
6820,POS System Fees,Expense,Other Operating Expense,Form 1120 Line 26,POS subscription fees
6830,Repairs and Maintenance,Expense,Other Operating Expense,Form 1120 Line 8,Store/equipment repairs
6840,Cleaning and Janitorial,Expense,Other Operating Expense,Form 1120 Line 26,Cleaning services
6850,Depreciation Expense,Expense,Depreciation,Form 1120 Line 20,Annual depreciation
6900,Other Operating Expenses,Expense,Other Operating Expense,Form 1120 Line 26,Catch-all
7010,Interest Income,Other_Income,Interest Income,Form 1120 Line 5,Bank interest earned
7020,Other Income,Other_Income,Other Operating Expense,Form 1120 Line 10,Misc income (vendor rebates etc.)
7100,Interest Expense,Other_Expense,Interest Expense,Form 1120 Line 18,Loan interest
7200,Federal Income Tax Expense,Other_Expense,Tax Expense,Form 1120 Line 31,Federal corporate tax
7210,State Income Tax Expense,Other_Expense,Tax Expense,Form 1120 Line 17,State corporate tax
7220,State Franchise Tax,Other_Expense,Tax Expense,Form 1120 Line 17,Franchise tax
7300,Loss on Sale of Assets,Other_Expense,Gain/Loss on Sale of Assets,Form 1120 Line 26,Asset disposal loss
